"","year","country_code","code_2","country","region","eu_member","ggov_pro_cost"
"1","2008","AUT","AT","Austria","Continental","EU",23.35
"2","2010","AUT","AT","Austria","Continental","EU",24.74
"3","2012","AUT","AT","Austria","Continental","EU",24.03
"4","2014","AUT","AT","Austria","Continental","EU",23.97
"5","2016","AUT","AT","Austria","Continental","EU",23.87
"6","2018","AUT","AT","Austria","Continental","EU",23.56
"7","2008","BEL","BE","Belgium","Continental","EU",24.93
"8","2010","BEL","BE","Belgium","Continental","EU",26.15
"9","2012","BEL","BE","Belgium","Continental","EU",26.87
"10","2014","BEL","BE","Belgium","Continental","EU",27.19
"11","2016","BEL","BE","Belgium","Continental","EU",26.35
"12","2018","BEL","BE","Belgium","Continental","EU",26.15
"13","2008","CZE","CZ","Czech Republic","Eastern","EU",22.33
"14","2010","CZE","CZ","Czech Republic","Eastern","EU",23.84
"15","2012","CZE","CZ","Czech Republic","Eastern","EU",22.92
"16","2014","CZE","CZ","Czech Republic","Eastern","EU",22.7
"17","2016","CZE","CZ","Czech Republic","Eastern","EU",22.08
"18","2018","CZE","CZ","Czech Republic","Eastern","EU",22.49
"19","2008","DNK","DK","Denmark","Nordic","EU",28.63
"20","2010","DNK","DK","Denmark","Nordic","EU",31.28
"21","2012","DNK","DK","Denmark","Nordic","EU",30.34
"22","2014","DNK","DK","Denmark","Nordic","EU",29.58
"23","2016","DNK","DK","Denmark","Nordic","EU",28.52
"24","2018","DNK","DK","Denmark","Nordic","EU",27.79
"25","2008","FIN","FI","Finland","Nordic","EU",27.29
"26","2010","FIN","FI","Finland","Nordic","EU",30.27
"27","2012","FIN","FI","Finland","Nordic","EU",30.94
"28","2014","FIN","FI","Finland","Nordic","EU",31.33
"29","2016","FIN","FI","Finland","Nordic","EU",30.33
"30","2018","FIN","FI","Finland","Nordic","EU",29.45
"31","2008","FRA","FR","France","Continental","EU",26.09
"32","2010","FRA","FR","France","Continental","EU",27.78
"33","2012","FRA","FR","France","Continental","EU",27.75
"34","2014","FRA","FR","France","Continental","EU",27.94
"35","2016","FRA","FR","France","Continental","EU",27.47
"36","2018","FRA","FR","France","Continental","EU",27
"37","2008","DEU","DE","Germany","Continental","EU",21.27
"38","2010","DEU","DE","Germany","Continental","EU",23.07
"39","2012","DEU","DE","Germany","Continental","EU",22.84
"40","2014","DEU","DE","Germany","Continental","EU",23.22
"41","2016","DEU","DE","Germany","Continental","EU",23.6
"42","2018","DEU","DE","Germany","Continental","EU",23.66
"43","2008","GRC","GR","Greece","Southern","EU",23.74
"44","2010","GRC","GR","Greece","Southern","EU",25.43
"45","2012","GRC","GR","Greece","Southern","EU",25.03
"46","2014","GRC","GR","Greece","Southern","EU",23.36
"47","2016","GRC","GR","Greece","Southern","EU",23.63
"48","2018","GRC","GR","Greece","Southern","EU",22.68
"49","2008","HUN","HU","Hungary","Eastern","EU",24.56
"50","2010","HUN","HU","Hungary","Eastern","EU",24.65
"51","2012","HUN","HU","Hungary","Eastern","EU",23.17
"52","2014","HUN","HU","Hungary","Eastern","EU",23.38
"53","2016","HUN","HU","Hungary","Eastern","EU",23.55
"54","2018","HUN","HU","Hungary","Eastern","EU",23.29
"55","2008","ISL","IS","Iceland","Nordic","Non-EU",26.44
"56","2010","ISL","IS","Iceland","Nordic","Non-EU",27.47
"57","2012","ISL","IS","Iceland","Nordic","Non-EU",27.46
"58","2014","ISL","IS","Iceland","Nordic","Non-EU",26.7
"59","2016","ISL","IS","Iceland","Nordic","Non-EU",25.45
"60","2018","ISL","IS","Iceland","Nordic","Non-EU",26.2
"61","2008","IRL","IE","Ireland","Anglo-Saxon","EU",20.87
"62","2010","IRL","IE","Ireland","Anglo-Saxon","EU",21.79
"63","2012","IRL","IE","Ireland","Anglo-Saxon","EU",20.62
"64","2014","IRL","IE","Ireland","Anglo-Saxon","EU",18.67
"65","2016","IRL","IE","Ireland","Anglo-Saxon","EU",14.54
"66","2018","IRL","IE","Ireland","Anglo-Saxon","EU",13.62
"67","2008","ITA","IT","Italy","Southern","EU",21.62
"68","2010","ITA","IT","Italy","Southern","EU",22.79
